"Ár";"Vörutegund";"Alls Einingar";"Alls Tonn";"Alls CIF í milljónum króna"
"2007";"08  Ávextir";0;22099;2714
"2007";"20  Ávextir niðursoðnir";0;1713;261
"2007";"09  Kaffi";0;2367;813
"2007";"10, 11  Kornvörur til manneldis";0;28125;952
"2007";"10, 11, 23  Fóðurvörur";0;87638;2238
"2007";"17  Strásykur, molasykur";0;10038;346
"2007";"17, 18  Sælgæti";0;2515;1034
"2007";"19  Kex, kökur, brauðvörur";0;6363;1639
"2007";"24  Vindlingar";0;379;1114
"2007";"24  Annað tóbak";0;39;144
"2007";"25  Salt (almennt)";0;99867;527
"2007";"28  Súrál";0;814258;20555
"2007";"27  Kol";0;139568;1385
"2007";"27  Koks";0;33091;558
"2007";"27  Flugvélabensín";0;883;68
"2007";"27  Annað bensín";0;156561;7188
"2007";"27  Þotueldsneyti";0;169373;7642
"2007";"27  Gasolía";0;394253;16237
"2007";"27  Brennsluolía";0;100668;2666
"2007";"27  Smurolía, smurfeiti";0;5741;965
"2007";"40  Hjólbarðar nýir";0;4632;1992
"2007";"40  Hjólbarðar notaðir";0;521;102
"2007";"44  Timbur";107953;65328;3481
"2007";"44  Krossviður";230735;7015;689
"2007";"44  Spóna­, byggingarplötur";0;20246;990
"2007";"48  Dagblaðapappír";0;14006;669
"2007";"48  Prent­ og skrifpappír";0;3526;310
"2007";"48  Kraftpappír, ­pappi";0;4285;208
"2007";"49  Bækur, blöð, tímarit";0;1839;1322
"2007";"33  Ilmvötn og snyrtivörur";0;2167;2414
"2007";"51  Ull";0;48;13
"2007";"57  Gólfteppi";0;926;329
"2007";"56  Fiskinet";0;417;222
"2007";"70  Rúðugler";0;4747;383
"2007";"72  Steypustyrktarjárn";0;52178;2530
"2007";"72  Þakjárn";0;36;5
"2007";"73  Miðstöðvarofnar";0;1011;255
"2007";"84  Kæli­ og frystitæki til heimilis";24733;1215;685
"2007";"84  Þvottavélar";22839;1349;651
"2007";"85  Sjónvarpstæki";33917;768;1829
"2007";"85  Hljóðvarpstæki";37835;90;168
"2007";"87  Hjóladráttarvélar";389;1903;1594
"2007";"87  Almenningsbílar";87;544;625
"2007";"87  Fólksbílar, þ.m.t. bílar með alhjóladrifi";18876;29308;28678
"2007";"87  Vöru- og sendibílar";3688;9563;8003
"2007";"87  Aðrir bílar";515;174;334
"2007";"87  Fjórhjól";3;413;551
"2007";"84, 87  Bílavarahlutir";0;2250;3045
"2007";"88  Flugvélar";30;1547;25235
"2007";"89  Farskip, ferjur";1;12;2
"2007";"89  Fiskiskip";7;5995;3284
"2007";"89  Önnur skip";3;33;18
"2008";"07  Kartöflur";0;2460;183
"2008";"07  Grænmeti";0;10429;2064
"2008";"08  Ávextir";0;20529;3588
"2008";"20  Ávextir niðursoðnir";0;1710;382
"2008";"09  Kaffi";0;2200;1151
"2008";"10, 11  Kornvörur til manneldis";0;27311;1658
"2008";"10, 11, 23  Fóðurvörur";0;77686;3169
"2008";"17  Strásykur, molasykur";0;10013;540
"2008";"17, 18  Sælgæti";0;2326;1352
"2008";"19  Kex, kökur, brauðvörur";0;5789;2115
"2008";"24  Vindlingar";0;382;1618
"2008";"24  Annað tóbak";0;37;190
"2008";"25  Salt (almennt)";0;112932;878
"2008";"28  Súrál";0;1620531;58351
"2008";"27  Kol";0;98185;1727
"2008";"27  Koks";0;27208;990
"2008";"27  Flugvélabensín";0;432;46
"2008";"27  Annað bensín";0;151949;11460
"2008";"27  Þotueldsneyti";0;146569;12001
"2008";"27  Gasolía";0;356245;28296
"2008";"27  Brennsluolía";0;94174;4360
"2008";"27  Smurolía, smurfeiti";0;5098;1352
"2008";"40  Hjólbarðar nýir";0;3750;2175
"2008";"40  Hjólbarðar notaðir";0;304;87
"2008";"44  Timbur";74312;43205;3043
"2008";"44  Krossviður";57558;5526;739
"2008";"44  Spóna­, byggingarplötur";0;16800;1121
"2008";"48  Dagblaðapappír";0;8109;478
"2008";"48  Prent­ og skrifpappír";0;2387;302
"2008";"48  Kraftpappír, ­pappi";0;4492;298
"2008";"49  Bækur, blöð, tímarit";0;1721;1559
"2008";"33  Ilmvötn og snyrtivörur";0;1784;2700
"2008";"51  Ull";0;54;24
"2008";"57  Gólfteppi";0;557;304
"2008";"56  Fiskinet";0;407;375
"2008";"70  Rúðugler";0;3827;394
"2008";"72  Steypustyrktarjárn";0;33222;2598
"2008";"72  Þakjárn";0;392;75
"2008";"73  Miðstöðvarofnar";0;561;184
"2008";"84  Kæli­ og frystitæki til heimilis";16248;834;611
"2008";"84  Þvottavélar";14180;796;542
"2008";"85  Sjónvarpstæki";20192;469;1361
"2008";"85  Hljóðvarpstæki";28228;58;143
"2008";"87  Hjóladráttarvélar";135;665;769
"2008";"87  Almenningsbílar";86;577;758
"2008";"87  Fólksbílar, þ.m.t. bílar með alhjóladrifi";10703;16803;20681
"2008";"87  Vöru- og sendibílar";1579;4082;4443
"2008";"87  Aðrir bílar";177;58;116
"2008";"87  Fjórhjól";2;237;339
"2008";"84, 87  Bílavarahlutir";0;1604;3222
"2008";"88  Flugvélar";19;2349;14927
"2008";"89  Farskip, ferjur";1;28;23
"2008";"89  Fiskiskip";3;2895;1235
"2008";"89  Önnur skip";5;186;482
"2009";"07  Kartöflur";0;2279;166
"2009";"07  Grænmeti";0;10132;2092
"2009";"08  Ávextir";0;20044;4260
"2009";"20  Ávextir niðursoðnir";0;1491;471
"2009";"09  Kaffi";0;2442;1506
"2009";"10, 11  Kornvörur til manneldis";0;27655;1809
"2009";"10, 11, 23  Fóðurvörur";0;76211;3576
"2009";"17  Strásykur, molasykur";0;10105;836
"2009";"17, 18  Sælgæti";0;2234;1671
"2009";"19  Kex, kökur, brauðvörur";0;5020;2304
"2009";"24  Vindlingar";0;354;1964
"2009";"24  Annað tóbak";0;31;242
"2009";"25  Salt (almennt)";0;97923;1105
"2009";"28  Súrál";0;1557309;52621
"2009";"27  Kol";0;113997;2929
"2009";"27  Koks";0;20898;1298
"2009";"27  Flugvélabensín";0;717;95
"2009";"27  Annað bensín";0;156525;11413
"2009";"27  Þotueldsneyti";0;116588;8135
"2009";"27  Gasolía";0;358553;23477
"2009";"27  Brennsluolía";0;96485;4780
"2009";"27  Smurolía, smurfeiti";0;4554;1579
"2009";"40  Hjólbarðar nýir";0;1946;1486
"2009";"40  Hjólbarðar notaðir";0;226;83
"2009";"44  Timbur";111565;26508;2164
"2009";"44  Krossviður";2571;2835;530
"2009";"44  Spóna­, byggingarplötur";0;8823;870
"2009";"48  Dagblaðapappír";0;7422;672
"2009";"48  Prent­ og skrifpappír";0;2310;396
